#{"t_start": 1717156320.7890003, "env_id": "MagnetEnv_OSC-v0"}
r,l,t
-36.115612,2001,1379.120816
-35.615317,2001,1381.579653
-39.134297,2001,1384.033806
-40.598474,2001,1386.664088
-40.598474,2001,1388.332394
-40.598474,2001,1390.002951
-40.598474,2001,1391.673665
-40.598474,2001,1393.347108
-39.622531,2001,1395.811897
-40.087068,2001,1398.21125
-47.617697,2001,1400.699416
-41.142381,2001,1403.167284
-39.588713,2001,1405.627694
-36.551811,2001,1408.088393
-36.586328,2001,1410.556569
-36.594199,2001,1413.013553
-37.595094,2001,1415.441217
-39.558553,2001,1417.881405
-40.059501,2001,1420.285399
-38.062977,2001,1422.67105
-41.574173,2001,1425.093964
-37.570972,2001,1427.52693
-39.573044,2001,1429.921871
-41.546144,2001,1432.337322
-34.05769,2001,1434.731336
-36.551484,2001,1437.186352
-36.061764,2001,1439.638145
-39.573832,2001,1442.033286
-39.054591,2001,1444.484612
-37.56791,2001,1446.884357
-37.550907,2001,1449.299218
-40.541706,2001,1451.758607
-38.545935,2001,1454.171351
-36.562023,2001,1456.62116
-42.070623,2001,1459.086731
-37.566905,2001,1461.555401
-39.546259,2001,1464.009762
-41.039373,2001,1466.504663
-42.547635,2001,1468.957058
-41.065903,2001,1471.411841
-36.55569,2001,1474.011964
-36.55569,2001,1475.649721
-36.55569,2001,1477.283836
-36.55569,2001,1478.907673
-36.55569,2001,1480.547552
-39.563641,2001,1482.967284
-37.564964,2001,1485.383122
-37.058759,2001,1487.778265
-37.565253,2001,1490.23533
-39.039355,2001,1492.667882
-35.57284,2001,1495.054514
-35.053469,2001,1497.497632
-34.549212,2001,1499.9316
-38.546773,2001,1502.380119
-38.558286,2001,1504.808561
-39.042507,2001,1507.216567
-37.556949,2001,1509.609561
-40.540372,2001,1512.028931
-37.543242,2001,1514.480367
-37.069655,2001,1516.937231
-35.55705,2001,1519.410275
-35.545886,2001,1521.882655
-38.060997,2001,1524.338298
-39.030781,2001,1526.767316
-37.065867,2001,1529.199937
-38.048401,2001,1531.642551
-36.555727,2001,1534.112883
-36.549653,2001,1536.525968
-36.042731,2001,1538.36137
-40.573207,2001,1540.754341
-35.064855,2001,1543.202963
-41.052672,2001,1545.661401
-40.032059,2001,1548.082527
-36.554858,2001,1550.530086
-43.516365,2001,1552.956506
-40.0351,2001,1555.404534
-39.054446,2001,1557.854706
-37.558102,2001,1561.067513
-37.558102,2001,1562.722332
-37.558102,2001,1564.387974
-37.558102,2001,1566.049028
-37.558102,2001,1567.706156
-36.045993,2001,1570.111066
-42.056387,2001,1572.578533
-39.069134,2001,1574.980414
-37.552724,2001,1577.445787
-36.561838,2001,1579.865617
-39.564638,2001,1582.354805
-42.046396,2001,1584.834412
-35.585553,2001,1587.322656
-39.544552,2001,1589.815193
-39.067184,2001,1592.242935
-36.555438,2001,1594.663303
-38.556286,2001,1597.120459
-41.532585,2001,1598.958737
-38.061088,2001,1601.430049
-38.543638,2001,1603.913618
-38.055128,2001,1606.374229
-43.020394,2001,1608.826906
-41.54151,2001,1611.314194
-44.013272,2001,1613.770614
-41.54319,2001,1616.273173
-40.039723,2001,1618.731955
-42.014103,2001,1621.194513
-41.517115,2001,1623.668733
-39.022199,2001,1626.117726
-38.535583,2001,1628.604366
-43.015754,2001,1631.068433
-39.521503,2001,1633.507567
-38.055925,2001,1635.935509
-41.01203,2001,1638.392493
-38.520191,2001,1640.847333
-36.025308,2001,1643.303204
-41.037022,2001,1645.766391
-37.522037,2001,1649.006434
-37.522037,2001,1650.636391
-37.522037,2001,1652.273321
-37.522037,2001,1653.907641
-37.522037,2001,1655.546373
-38.534141,2001,1658.036248
-37.042017,2001,1659.859364
-36.540238,2001,1662.329967
-43.010985,2001,1664.766413
-41.51664,2001,1667.209585
-42.017598,2001,1669.60261
-44.015503,2001,1672.019476
-43.523174,2001,1674.435488
-37.519724,2001,1676.839651
-41.512788,2001,1679.287565
-42.013903,2001,1681.703681
-38.527677,2001,1684.148182
-40.510919,2001,1686.590245
-39.511766,2001,1688.9984
-40.528662,2001,1691.497494
-39.014883,2001,1693.929264
-42.026067,2001,1696.394568
-41.013918,2001,1698.858905
-39.525415,2001,1701.272362
-40.032266,2001,1703.750397
-42.508501,2001,1706.185489
-37.517689,2001,1708.634333
-38.013015,2001,1711.101358
-42.51022,2001,1713.560805
-40.516903,2001,1716.001475
-40.030306,2001,1718.50286
-39.022049,2001,1720.908926
-38.55017,2001,1723.385407
-41.518086,2001,1725.788963
-42.520342,2001,1728.228538
-37.531903,2001,1730.688952
-41.019102,2001,1733.144523
-43.00359,2001,1735.757396
-43.00359,2001,1737.396113
-43.00359,2001,1739.032331
-43.00359,2001,1740.671643
-43.00359,2001,1742.310453
-41.009501,2001,1744.711272
-40.0243,2001,1747.128154
-42.523534,2001,1749.551318
-38.525219,2001,1751.998336
-39.535726,2001,1754.470149
-40.518561,2001,1756.915401
-42.512749,2001,1759.375535
-43.506802,2001,1761.833599
-38.513965,2001,1764.261326
-39.523734,2001,1766.712893
-40.017854,2001,1769.15851
-38.524578,2001,1771.603998
-37.019011,2001,1774.079241
-39.521111,2001,1776.547198
-41.012859,2001,1779.010396
-39.015631,2001,1781.423909
-44.514103,2001,1783.887636
-43.510105,2001,1786.348063
-39.019244,2001,1788.74514
-40.52962,2001,1791.227573
-41.023916,2001,1793.639716
-42.521089,2001,1796.096362
-44.522191,2001,1798.539538
-41.017207,2001,1800.968054
-42.512959,2001,1803.39978
-43.009682,2001,1805.822876
-46.510627,2001,1808.273459
-41.513456,2001,1810.679252
-40.509473,2001,1813.084079
-42.016261,2001,1815.528339
-41.515969,2001,1817.933042
-41.525199,2001,1820.330816
-41.017117,2001,1822.957666
-41.017117,2001,1824.590712
-41.017117,2001,1826.230018
-41.017117,2001,1827.866367
-41.017117,2001,1829.495703
-42.515681,2001,1831.931856
-42.010478,2001,1834.334127
-41.519564,2001,1836.80235
-44.521756,2001,1839.256486
-42.525297,2001,1841.692583
-39.020148,2001,1844.096029
-44.016169,2001,1846.554447
-39.017108,2001,1848.994495
-42.519014,2001,1851.435156
-40.523127,2001,1853.88565
-41.526525,2001,1856.309022
-40.018707,2001,1858.75642
-41.515282,2001,1861.213956
-41.036548,2001,1863.660387
-42.01449,2001,1866.104198
-44.534512,2001,1868.558285
-40.025758,2001,1871.016816
-40.54103,2001,1873.408132
-38.541823,2001,1875.861746
-45.041129,2001,1878.351613
-40.532345,2001,1880.778841
-39.031275,2001,1882.609767
-40.02344,2001,1885.02552
-39.024252,2001,1887.457978
-40.526761,2001,1889.884148
-44.534301,2001,1892.305193
-39.539948,2001,1894.743828
-39.515431,2001,1897.193844
-38.535165,2001,1899.626207
-40.043487,2001,1902.025599
-42.538805,2001,1904.446576
-40.050605,2001,1906.853889
-37.109333,2001,1910.082433
-37.109333,2001,1911.763895
-37.109333,2001,1913.435503
-37.109333,2001,1915.109382
-37.109333,2001,1916.788321
-38.530858,2001,1919.240282
-41.036163,2001,1921.656129
-43.578657,2001,1924.15549
-42.535433,2001,1926.569175
-38.08467,2001,1929.032304
-40.074222,2001,1931.539201
-39.520963,2001,1934.007789
-43.025209,2001,1936.47229
-40.022529,2001,1938.93109
-36.565023,2001,1941.405216
-38.076347,2001,1943.26352
-41.518343,2001,1945.711007
-41.530507,2001,1948.191102
-37.60658,2001,1950.687088
-40.020214,2001,1953.095156
-36.583948,2001,1955.581902
-41.040152,2001,1957.997938
-40.591615,2001,1960.480965
-36.565135,2001,1962.892078
-38.5349,2001,1965.292109
-37.088674,2001,1967.767841
-38.081152,2001,1970.237896
-38.080604,2001,1972.65356
-36.59769,2001,1975.084066
-41.61309,2001,1977.53843
-38.103758,2001,1979.961757
-42.059113,2001,1982.37591
-38.576871,2001,1984.802379
-38.100066,2001,1987.284003
-41.540792,2001,1989.727427
-40.050467,2001,1992.142655
-46.047429,2001,1994.56703
-38.545915,2001,1997.184463
-38.545915,2001,1998.809429
-38.545915,2001,2000.446035
-38.545915,2001,2002.088504
-38.545915,2001,2003.730123
-38.542334,2001,2006.178617
-40.529467,2001,2008.639455
-38.048053,2001,2011.064632
-41.039368,2001,2013.527514
-44.062183,2001,2016.008489
-37.08984,2001,2018.496255
-40.553151,2001,2020.957356
-43.101508,2001,2023.445394
-37.604853,2001,2025.851713
-39.053493,2001,2028.26082
-45.106294,2001,2030.73517
-43.048951,2001,2033.172305
-41.064816,2001,2035.588119
-36.599479,2001,2038.003409
-43.051067,2001,2040.433367
-44.068972,2001,2042.905128
-43.053238,2001,2045.356899
-37.551021,2001,2047.774083
-43.060661,2001,2050.215534
-36.542914,2001,2052.639322
-40.039303,2001,2055.11082
-36.59479,2001,2057.531387
-36.098894,2001,2059.999318
-35.636713,2001,2062.435061
-41.113976,2001,2064.863776
-40.553703,2001,2067.31197
-35.612861,2001,2069.764745
-36.102376,2001,2072.213084
-35.121381,2001,2074.701504
-37.596974,2001,2077.128184
-38.546862,2001,2079.49532
-38.043551,2001,2081.940956
-40.063673,2001,2084.57672
-40.063673,2001,2086.23429
-40.063673,2001,2087.911198
-40.063673,2001,2089.578351
-40.063673,2001,2091.239038
-38.558172,2001,2093.691454
